[1.14-13.82] 维维维能听到吗,同学们,电脑的桌面能看到吗,电脑的桌面可以看到吗?
[1556.55-1557.55] 就看刚才
[1557.55-1558.55] 咱们讲的这个内容
[1558.55-1560.55] 看趋势
[1560.55-1561.55] 跟着趋势做
[1561.55-1562.55] 看成交量
[1562.55-1563.55] 量在价先
[1563.55-1565.55] 天量出天价
[1565.55-1566.55] 地量出地价
[1566.55-1568.55] 什么是成交量呢
[1568.55-1569.55] 那就是你们看到的
[1569.55-1571.55] 这个位置的东西
[1571.55-1573.55] 它就叫成交量
[1573.55-1574.55] 我回头会陆陆续续
[1574.55-1575.55] 都会讲到这些东西
[1575.55-1576.55] 今天只是讲一个大概
[1576.55-1578.55] 怎么来看盘
[1578.55-1579.55] 可能我们利用
[1579.55-1581.55] 一小时都讲不完
[1581.55-1583.55] 利用一小时都讲不完
[1583.55-1586.99] 利用一小时都讲不完
[1587.99-1589.99] 对 所以说
[1589.99-1590.99] 成交量
[1590.99-1592.99] 其实这一波已经起来了
[1592.99-1594.99] 如果你要按趋势来去做的情况下
[1594.99-1596.99] 其实这一轮的趋势呢
[1596.99-1599.99] 我们从8月23号
[1599.99-1601.99] 起来的这一波趋势呢
[1601.99-1602.99] 从8月23号
[1602.99-1608.20] 起来的这一波趋势呢
[1608.20-1609.20] 我们看一下
[1609.20-1611.20] 其实就是一个单边的多头
[1611.20-1614.20] 其实就是一个单边的多头
[1614.20-1616.20] 而9月1号
[1616.20-1618.20] 我们给大家的这个点
[1618.20-1619.20] 突破了
[1619.20-1620.20] 你看这个就是什么
[1620.20-1621.20] 就是它的斜率
[1621.20-1625.20] 之前给大家画的一个斜率线
[1625.20-1626.20] 9月1号在这个位置
[1626.20-1628.20] 突破斜率的时候
[1628.20-1630.20] 它就已经成立了
[1630.20-1631.20] 而且成交量这一波
[1631.20-1633.20] 就是单边上升的一个量
[1633.20-1634.20] 但这两天
[1634.20-1635.20] 我们发现什么
[1635.20-1637.20] 成交量是下来的
[1637.20-1638.20] 缩量的
[1638.20-1640.20] 如果缩量
[1640.20-1643.20] 如果说缩量的话
[1643.20-1645.20] 如果说是缩量的情况下
[1645.20-1646.20] 代表什么呢
[1646.20-1647.20] 今天是放量的
[1647.20-1648.20] 在放量说明
[1648.20-1650.20] 我们做空的动能还很大
[1650.20-1652.20] 说明我们做空的动能还很大
[1652.20-1653.20] 说明接下来市场
[1653.20-1656.20] 有可能会考验这个20日军线
[1656.20-1657.20] 这个20日军线
[1657.20-1658.20] 你看一下
[1658.20-1659.20] 什么是军线
[1659.20-1660.20] 上方
[1660.20-1662.20] 每个软件都有MA
[1662.20-1664.20] 指的是军线MA
[1664.20-1666.20] 你们自己看MA
[1666.20-1668.20] MA这里边有5日线
[1668.20-1670.20] 有5日线的点位
[1670.20-1671.20] 有10日线的点位
[1671.20-1672.20] 有20线的点位
[1672.20-1673.20] 有30的
[1673.20-1674.20] 60的
[1674.20-1675.20] 120的
[1675.20-1676.20] 包括250线的
[1676.20-1679.20] 每个软件上都会有
[1679.20-1683.64] 每个软件上都会有
[1683.64-1684.64] 对
[1684.64-1687.64] 每个软件都会有这个MA的这个值
[1687.64-1688.64] 我们小白
[1688.64-1689.64] 要注意一下
[1689.64-1690.64] 你们在看盘的过程当中
[1690.64-1691.64] 一定要明白
[1691.64-1692.64] 他这个位置
[1692.64-1693.64] 已经给你标好了
[1693.64-1695.64] 具体的点类
[1695.64-1696.64] 已经给你标好了
[1696.64-1697.64] 比如说
[1697.64-1698.64] 现在
[1698.64-1700.64] 这个我的电脑上
[1700.64-1702.64] 我的软件上
[1702.64-1705.64] 给你标注的MA20
[1705.64-1706.64] 指的就是20日军线
[1706.64-1708.64] 的目标是什么位置呢
[1708.64-1709.64] 你们那显示的是多少
[1709.64-1711.64] 跟我这显示的数字
[1711.64-1713.64] 应该是一样的
[1713.64-1715.64] 你们显示的是多少
[1715.64-1717.64] 是3590吗
[1717.64-1721.92] 是33590吗
[1721.92-1722.92] 这是我们军线
[1722.92-1724.92] 上边已经给你标时出来了
[1724.92-1733.64] 已经标时出来了
[1733.64-1734.64] 是多少
[1734.64-1735.64] 是3590吗
[1735.64-1736.64] 20日军线
[1736.64-1739.64] 你们那标时的是3590.61吗
[1739.64-1743.10] 是吗
[1743.10-1745.10] 3590吧
[1745.10-1746.10] 对吧
[1746.10-1747.10] 应该是没有问题
[1747.10-1748.10] 对
[1748.10-1750.10] 我们软件上标时的小白
[1750.10-1751.10] 一定要注意一下
[1751.10-1752.10] 这个必须得会看
[1752.10-1754.10] 我觉得这个太小了
[1754.10-1756.10] 有点幼儿园级别的水平了
[1756.10-1757.10] 回放还是直播
[1757.10-1758.10] 这是直播
[1758.10-1759.10] 这并不是回放
[1759.10-1763.66] 怎么回放了
[1763.66-1764.66] 这不是回放
[1764.66-1770.02] 这是直播
[1770.02-1771.02] 是直播吧
[1771.02-1772.02] 我没有回放
[1772.02-1775.53] 这是实实的
[1775.53-1776.53] 3590
[1776.53-1777.53] 对
[1777.53-1778.53] 你们说一句话
[1778.53-1779.53] 对
[1779.53-1780.53] 3590
[1780.53-1782.53] 那说明了
[1782.53-1784.53] 明天的位置会考验
[1784.53-1785.53] 20日军线
[1785.53-1787.53] 3590这个位置
[1787.53-1789.53] 怎么又说一遍
[1789.53-1794.57] 可能是网络的问题
[1794.57-1800.88] 因为我
[1800.88-1801.88] 对老师记得喝水
[1801.88-1802.88] 对
[1802.88-1803.88] 我喝喝水
[1805.88-1807.88] 他会考验3590这个位置
[1807.88-1808.88] 这就是我们军线
[1808.88-1810.88] 每一条军线
[1810.88-1812.88] 你看上面的MA5
[1812.88-1813.88] MA10
[1813.88-1814.88] 各个颜色的
[1814.88-1815.88] 就是你们理解成的
[1815.88-1817.88] 这个五彩斑马军线
[1817.88-1818.88] 简单说一下
[1818.88-1819.88] 后期我们还会讲
[1819.88-1821.88] 我们还会讲军线系统
[1821.88-1822.88] 后期还会讲军线
[1822.88-1824.88] 因为看盘的过程当中
[1824.88-1825.88] 一 今天给书里的
[1825.88-1826.88] 对 就是你们要关注
[1826.88-1828.88] 它这几个点
[1828.88-1829.88] 这几个点
[1829.88-1830.88] 那我讲到了
[1830.88-1831.88] 20日军线
[1831.88-1833.88] 是它目前的这个位置
[1833.88-1834.88] 3590
[1834.88-1836.88] 所以明天很有可能会碰触
[1836.88-1838.88] 这个3590
[1838.88-1840.88] 或是破一下
[1840.88-1841.88] 破一下
[1841.88-1843.88] 然后再回来
[1843.88-1844.88] 再回来
[1844.88-1845.88] 所以说目前
[1845.88-1847.88] 既然是放量
[1847.88-1848.88] 今天你们看一下
[1848.88-1851.88] 比昨天量是大的
[1851.88-1852.88] 这个图形
[1852.88-1854.88] 今天的这个量
[1854.88-1856.88] 比昨天的这个小量
[1856.88-1857.88] 是放大的
[1857.88-1858.88] 说明什么呢
[1858.88-1861.88] 放量下跌
[1861.88-1863.88] 我们说是量在价先
[1863.88-1864.88] 量在价先
[1864.88-1865.88] 天量出天价
[1865.88-1867.88] 地量出地价
[1867.88-1868.88] 放量下跌
[1868.88-1869.88] 说明什么呢
[1869.88-1870.88] 这个位置做空的动能
[1870.88-1871.88] 因为它是一个阴陷
[1871.88-1873.88] 它是一个阴陷
[1873.88-1874.88] 我们也谈到了
[1874.88-1876.88] 今天目标位是3680
[1876.88-1877.88] 到了之后会成压
[1877.88-1878.88] 谈口当中
[1878.88-1879.88] 我也给大家去说了
[1879.88-1881.88] 所以说呢
[1881.88-1882.88] 对
[1882.88-1883.88] 所以说这个位置
[1883.88-1885.88] 这个懂老师是吧
[1885.88-1886.88] 这个懂
[1886.88-1887.88] 那说明放量下跌
[1887.88-1888.88] 说明做空的动能
[1888.88-1889.88] 会很大
[1889.88-1890.88] 那你们如果自己
[1890.88-1891.88] 看盘的情况下
[1891.88-1893.88] 你看到放量了
[1893.88-1895.88] 下方的找一个军线的支撑
[1895.88-1897.88] 下方找一个军线的支撑
[1897.88-1899.88] 因为按20军线
[1899.88-1901.88] 是我们指数也好
[1901.88-1902.88] 还是个股也好
[1902.88-1903.88] 我们把它称之类叫
[1903.88-1904.88] 一根军线
[1904.88-1907.88] 一根军线战法当中的生命线
[1907.88-1908.88] 20军线呢
[1908.88-1912.88] 考核的是中期是趋势
[1912.88-1914.88] 短期5日线
[1914.88-1915.88] 比如我们在后期
[1915.88-1916.88] 讲军线系统的时候
[1916.88-1918.88] 咱慢慢来别着急
[1918.88-1919.88] 5日10日
[1919.88-1921.88] 这都算短期的
[1921.88-1922.88] 所以说
[1922.88-1923.88] 这个里边
[1923.88-1924.88] 给大家讲到的
[1924.88-1928.38] 成交量
[1928.38-1930.38] 成交量
[1930.38-1932.38] 这个成交量这句话
[1932.38-1933.38] 成交量
[1933.38-1934.38] 这句话
[1934.38-1936.38] 你们就能辨别
[1936.38-1938.38] 自己去辨别一下
[1938.38-1939.38] 如果你们的个股
[1939.38-1940.38] 从高位放量了
[1940.38-1941.38] 你就知道了
[1941.38-1942.38] 澳量在价先
[1942.38-1943.38] 既然是放量了
[1943.38-1944.38] 那接下来呢
[1944.38-1948.38] 可能还会继续的往下跌
[1948.38-1950.38] 如果是缩量呢
[1950.38-1951.38] 那可能是
[1951.38-1952.38] 地量出地下
[1952.38-1953.38] 它就不跌了
[1953.38-1954.38] 放量的话
[1954.38-1955.38] 肯定还会跌
[1955.38-1956.38] 就是这个意思
[1956.38-1957.38] 老师建议
[1957.38-1959.38] 下次改腾讯会议
[1959.38-1961.38] 放在电脑里看
[1961.38-1963.38] 老师建议
[1963.38-1964.38] 腾讯会议
[1964.38-1966.38] 好像只能容纳300人
[1966.38-1968.38] 300人以上的部分
[1968.38-1969.38] 好像要单独的开通
[1969.38-1970.38] 因为立志威客呢
[1970.38-1971.38] 300人
[1971.38-1972.38] 400人
[1972.38-1973.38] 500人
[1973.38-1974.38] 就是我多少人都能看
[1974.38-1976.38] 好像腾讯会议
[1976.38-1978.38] 只能容纳300人
[1978.38-1980.38] 就是它的这个免费的
[1980.38-1982.38] 只能容纳300人
[1982.38-1983.38] 其他的人
[1983.38-1984.38] 还有单独的进行
[1984.38-1985.38] 其他增加的部分
[1985.38-1986.38] 还有进行收费
[1986.38-1987.38] 好像是
[1987.38-1988.38] 我没有研究它
[1988.38-1989.38] 老师建议
[1989.38-1991.38] 下次改腾讯会议播放
[1991.38-1992.38] 那里可以在电脑里看
[1992.38-1994.38] 这个也可以在电脑上看
[1994.38-1996.38] 这个也可以在电脑上看
[1996.38-2000.86] 你投放到电脑上也可以看
[2000.86-2003.86] 可能大家不太熟悉这个立志威客
[2003.86-2005.86] 所以说呢
[2005.86-2006.86] 另外就是看军线
[2006.86-2008.86] 看军线的情况下
[2008.86-2010.86] 看军线的情况下
[2010.86-2011.86] 我们都知道
[2011.86-2014.86] 5日时日关注的是短期的变化
[2014.86-2016.86] 20到30
[2016.86-2018.86] 关注的是波段的趋势
[2018.86-2020.86] 60到90
[2020.86-2022.86] 看的是长期的趋势
[2022.86-2024.86] 这个也能在电脑上看
[2024.86-2025.86] 在电脑上看
[2025.86-2027.86] 立志也可以在电脑上看
[2027.86-2029.86] 对 这也是很清楚的
[2029.86-2030.86] 在电
[2030.86-2031.86] 我就用电脑看
[2031.86-2032.86] 对
[2032.86-2033.86] 然后
[2033.86-2034.86] 这个就是
[2034.86-2035.86] 你看我们去关注一下
[2035.86-2038.86] 现在的它的这个走势
[2038.86-2039.86] 你看一下
[2039.86-2041.86] 5日跟10日军线
[2041.86-2043.86] 是不是现在是死差的状态
[2043.86-2045.86] 再给大家去说一下这个军线
[2045.86-2046.86] 现在这个位置
[2046.86-2047.86] 是不是走死差了
[2047.86-2049.86] 说明短期
[2049.86-2051.86] 走的要不好看了
[2051.86-2053.86] 短期走的要不好看了
[2053.86-2055.86] 看短期的
[2055.86-2056.86] 这个能懂吗
[2056.86-2057.86] 5日跟10日
[2057.86-2060.86] 现在要走的不好看了
[2060.86-2062.86] 这个能懂吧
[2062.86-2069.53] 这个应该能懂吧
[2069.53-2071.53] 5日10日走的不好看了
[2071.53-2073.53] 而且你从小时级别上
[2073.53-2074.53] 你去看一下
[2074.53-2076.53] 从小时级别上
[2076.53-2077.53] 打开60分钟
[2077.53-2079.53] 60分钟点开之后
[2079.53-2081.53] 这是我们上证指数的60分
[2081.53-2083.53] 这是60分
[2083.53-2085.53] 打开上证指数60分之后
[2085.53-2087.53] 我们发现60分当中的
[2087.53-2088.53] 5日和10日
[2088.53-2091.53] 同样也出现了死亡交叉
[2091.53-2093.53] 我就穿插着给你们讲
[2093.53-2095.53] 其实这节课不应该讲这么多
[2095.53-2097.53] 可能很多小白还不太知道
[2097.53-2098.53] 60分钟线上
[2098.53-2100.53] 5日10日也出现了死亡交叉
[2100.53-2102.53] 而且在60分钟线上
[2102.53-2103.53] 我们看一下
[2103.53-2104.53] 这个位置
[2104.53-2107.53] 非常的有代表性
[2107.53-2110.53] 非常有代表性
[2110.53-2113.53] 我们把它称之为叫
[2113.53-2114.53] 叫什么
[2114.53-2116.53] 我告诉我叫乌云盖顶
[2116.53-2117.53] 我们叫什么
[2117.53-2119.53] 叫青盆大雨
[2119.53-2120.53] 我们叫什么呢
[2120.53-2123.53] 叫穿头破脚的大阴线
[2123.53-2125.53] 可以称之为叫乌云盖顶了
[2125.53-2128.53] 非常的不好
[2128.53-2131.53] 这也就是属于什么呢
[2131.53-2133.53] 变盘的最大的一个信号
[2133.53-2135.53] 因为这个日子是什么时候
[2135.53-2137.53] 是指我们的周二
[2137.53-2139.53] 周二下午的两点钟
[2139.53-2141.53] 就出现这个情况了
[2141.53-2142.53] 就出现这个情况了
[2142.53-2145.53] 5到10日金叉表示短期
[2145.53-2147.53] 要变盘了
[2147.53-2148.53] 我再重复一遍
[2148.53-2151.53] 5日10日死亡交叉
[2151.53-2152.53] 你看这个位置
[2152.53-2153.53] 在60日军线上
[2153.53-2154.53] 显示的是
[2154.53-2158.00] 这根图已经粘合了
[2158.00-2160.00] 而且60日军线的几根图
[2160.00-2163.00] 都没有创新高
[2163.00-2165.00] 都没有创新高
[2165.00-2168.00] 5日10日军线在
[2168.00-2170.00] 对 在周二的时候
[2170.00-2173.00] 已经出现了乌云盖顶
[2173.00-2176.00] 所以说周二就已经是一个
[2176.00-2178.00] 就在这一天
[2178.00-2181.00] 就在那一个小时
[2181.00-2183.00] 就在那一个小时
[2183.00-2186.00] 就出现了明显的空头范围
[2186.00-2188.00] 空头信号
[2188.00-2192.00] 所以说我提前告诉大家的
[2192.00-2194.00] 提前告诉大家的
[2194.00-2196.00] 因为在60分钟线上不好
[2196.00-2197.00] 你看看
[2197.00-2198.00] 现在的60分钟线
[2198.00-2199.00] 来你们来告诉我一下
[2199.00-2201.00] 下方你们看
[2201.00-2202.00] 60分钟线的支撑
[2202.00-2206.00] 下方有军线的支撑吗
[2206.00-2207.00] 下方
[2207.00-2208.00] 如果你看军线
[2208.00-2210.00] 有军线的支撑吗
[2210.00-2211.00] 最近的一根军线
[2211.00-2212.00] 是什么位置
[2212.00-2213.00] 来告诉我
[2213.00-2214.00] 来你们回答我
[2214.00-2216.00] 咱们边学边演练
[2216.00-2230.50] 下方有军线的支撑吗
[2230.50-2231.50] 没有
[2231.50-2232.50] 最近的一根
[2232.50-2235.50] 来你们告诉我是哪一根军线
[2235.50-2236.50] 60分钟线上
[2236.50-2239.50] 最近的一根是哪根军线
[2239.50-2241.50] 因为我刚才交给大家的方法
[2241.50-2243.50] 你们自己看
[2243.50-2245.50] 你们自己看是多少
[2245.50-2246.50] 是120
[2246.50-2248.50] 60分钟线上的120
[2248.50-2249.50] 对不对
[2249.50-2250.50] 好120
[2250.50-2252.50] 那120标识的位置
[2252.50-2253.50] 你们自己看一看
[2253.50-2257.13] 是多少点位呢
[2257.13-2258.13] 往上面看
[2258.13-2259.13] 上面写着的
[2259.13-2261.13] 这个颜色的线
[2261.13-2264.13] 是3558
[2264.13-2266.13] 是3558
[2266.13-2268.13] 所以是半年线
[2268.13-2270.13] 120称之为是半年线
[2270.13-2272.13] 250日
[2272.13-2274.13] 还称之为是年线
[2274.13-2276.13] 年线是分牛熊的
[2276.13-2279.13] 年线是分牛熊的
[2279.13-2280.13] 对
[2280.13-2281.13] 所以说60分钟线上
[2281.13-2282.13] 在这个位置上
[2282.13-2285.13] 显示出来的是下方
[2285.13-2286.13] 下方
[2286.13-2287.13] 这个位置
[2287.13-2288.13] 是空的
[2288.13-2291.13] 没有军线支撑了
[2291.13-2293.13] 说明下方打漏了
[2293.13-2294.13] 打漏的情况下
[2294.13-2295.13] 它就要找支撑
[2295.13-2296.13] 所以说
[2296.13-2298.13] 这就是军线系统当中的
[2298.13-2301.13] 应用军线系统当中的
[2301.13-2303.13] 一个小的分支领域
[2303.13-2305.13] 在60分钟线上
[2305.13-2307.13] 找短期的支撑
[2307.13-2309.13] 3558
[2309.13-2310.13] 我们也都知道
[2310.13-2312.13] 随着军线的上移
[2312.13-2313.13] 我这么讲
[2313.13-2315.13] 咱们小白能听懂吗
[2315.13-2318.13] 小白能听懂吗
[2318.13-2319.13] 我这么讲
[2319.13-2322.13] 小白能听懂吗
[2322.13-2323.13] 我放大一下
[2323.13-2332.49] 小白能听懂吗
[2332.49-2335.49] 咱们点过1的小白
[2335.49-2336.49] 能听懂吗
[2336.49-2337.49] 差不多吧
[2337.49-2338.49] 不会费劲吧
[2338.49-2340.49] 我让你们都能听懂
[2340.49-2341.49] 能懂是吧
[2341.49-2344.18] 对
[2344.18-2345.18] 能懂
[2345.18-2349.38] 能懂
[2349.38-2351.38] OK
[2351.38-2352.38] 蒙
[2352.38-2353.38] 这还蒙
[2353.38-2355.38] 不懂
[2355.38-2356.38] 这
[2356.38-2357.38] 能听懂
[2357.38-2359.38] 听不懂
[2359.38-2360.38] 军线
[2360.38-2361.38] 你看
[2361.38-2362.38] 我们点一下
[2362.38-2363.38] 这个军线60分钟线
[2363.38-2364.38] 你点完之后
[2364.38-2365.38] 它下方
[2365.38-2366.38] 这不是个空的吗
[2366.38-2367.38] 对不对
[2367.38-2368.38] 它是个真空区
[2368.38-2369.38] 离这个
[2369.38-2370.38] 蓝颜色的线
[2370.38-2371.38] 这个线
[2371.38-2372.38] 标识一下
[2372.38-2373.38] 最近
[2373.38-2374.38] 这个线是多少呢
[2374.38-2376.38] 上面写的是MA120
[2376.38-2379.76] 终于懂了
[2379.76-2381.76] MA120
[2381.76-2383.76] 后边
[2383.76-2385.76] 跟了一串数字
[2385.76-2387.76] 后边跟了一串数字
[2387.76-2389.76] 后边跟了一串数字
[2389.76-2390.76] 这串数字
[2390.76-2393.76] 后边给你画了一个向上的尖头
[2393.76-2394.76] 你看
[2394.76-2395.76] 这串数字上
[2395.76-2398.76] 给你画了一个向上的尖头
[2398.76-2399.76] 你们看
[2399.76-2401.76] 这
[2401.76-2402.76] 就这个位置
[2402.76-2403.76] 你看
[2403.76-2404.76] 我不知道你们能不能看得见
[2404.76-2405.76] 有一个向上的说明
[2405.76-2407.76] 在3555
[2407.76-2410.76] 355级这个位置
[2410.76-2411.76] 是有一个支撑
[2411.76-2413.76] 逻辑很清楚
[2413.76-2414.76] 因为这个位置
[2414.76-2415.76] 你看
[2415.76-2416.76] 它是个空的
[2416.76-2417.76] 这个位置空的
[2417.76-2418.76] 再往下跌
[2418.76-2419.76] 没有支撑了
[2419.76-2420.76] 我们得找军线的支撑
[2420.76-2422.76] 我们得找军线的支撑
[2422.76-2424.76] 因为没有支撑
[2424.76-2426.76] 界面不清楚
[2426.76-2428.76] 界面抹糊了
[2428.76-2432.39] 为什么界面会抹糊
[2432.39-2433.39] 怎么用我的手机
[2433.39-2444.19] 看得非常的清楚
[2444.19-2445.19] 太白了
[2445.19-2447.19] 太白了
[2447.19-2449.19] 是
[2449.19-2450.19] 咱们要
[2450.19-2451.19] 老师
[2451.19-2452.19] 那下面
[2452.19-2454.19] 不是缩量吗
[2454.19-2456.19] 是缩量啊
[2456.19-2457.19] 那下面不是缩量吗
[2457.19-2458.19] 太白了
[2458.19-2459.19] 屏幕不动
[2459.19-2462.89] 好了
[2462.89-2463.89] 你们刷一下
[2463.89-2464.89] 刷新一下
[2464.89-2466.89] 刷新一下
[2466.89-2467.89] 退出去
[2467.89-2468.89] 重新进一下
[2468.89-2469.89] 就可以了
[2469.89-2470.89] 因为下方
[2470.89-2471.89] 是一个真空区
[2471.89-2472.89] 没有支撑
[2472.89-2474.89] 120日军线
[2474.89-2475.89] 显示的是
[2475.89-2477.89] 3558
[2477.89-2479.89] 这个
[2479.89-2480.89] 但是你们也都知道
[2480.89-2482.89] 你们也都知道
[2482.89-2484.89] 自己的问题
[2484.89-2485.89] 清楚的
[2485.89-2486.89] 不清楚的是
[2486.89-2487.89] 是不是没有放大呢
[2487.89-2488.89] 对 试一试
[2488.89-2489.89] 因为3558
[2489.89-2491.89] 是120日军线的支撑
[2491.89-2492.89] 但你们想一想
[2492.89-2494.89] 随着股价的波动
[2494.89-2496.89] 这个120日军线
[2496.89-2497.89] 它也会进行什么呢
[2497.89-2500.89] 它也会进行上移
[2500.89-2502.89] 上移的意思就是说
[2502.89-2510.94] 上移的意思就是
[2510.94-2511.94] 就是说什么意思呢
[2511.94-2512.94] 就是说
[2512.94-2514.94] 它可能会这样往上走
[2514.94-2516.94] 往上走的过程当中
[2516.94-2517.94] 你看
[2517.94-2519.94] 这形成一个K线
[2519.94-2520.94] 这形成一个K线
[2520.94-2522.94] 这再形成一个K线
[2522.94-2523.94] 可能这个位置
[2523.94-2525.94] 还不是3558
[2525.94-2528.94] 可能是3580
[2528.94-2530.94] 6070这附近
[2530.94-2532.94] 随着你看着这个军线
[2532.94-2534.94] 往上走的过程
[2534.94-2536.94] 是什么样子的
[2536.94-2542.64] 这下能懂了吗
[2542.64-2543.64] 我刚才所说的
[2543.64-2545.64] 这个军线会跟着往上走
[2545.64-2547.64] 军线会往上走
[2547.64-2549.64] 下边会形成一个K线图
[2549.64-2550.64] 两个K线有三个
[2550.64-2552.64] 明天跟接下来结后
[2552.64-2554.64] 可能这120军线
[2554.64-2556.64] 它的支撑的数字
[2556.64-2558.64] 就会发生改变
[2558.64-2560.64] 就会发生改变
[2560.64-2562.64] 可能会变成
[2562.64-2563.64] 对
[2563.64-2565.64] 可能会变成
[2565.64-2566.64] 比如说
[2566.64-2568.64] 3570
[2568.64-2570.64] 3580
[2570.64-2571.64] 这个位置
[2571.64-2572.64] 我不知道这个逻辑
[2572.64-2573.64] 你们能不能听懂
[2573.64-2574.64] 能听懂的
[2574.64-2575.64] 给我打一个懂
[2575.64-2583.74] 对
[2583.74-2585.74] 它这个军线是跟着往上走的
[2585.74-2587.74] 它不是一程不变的
[2587.74-2589.74] 当形成一个K线
[2589.74-2590.74] 它120军线
[2590.74-2592.74] 它也会跟着变
[2592.74-2594.74] 它也会跟着变
[2594.74-2595.74] 对
[2595.74-2596.74] 过了
[2596.74-2597.74] 下一个OK
[2597.74-2598.74] 这就是属于看到的
[2598.74-2600.74] 军线系统当中的
[2600.74-2601.74] 军线系统当中
[2601.74-2602.74] 你们需要看
[2602.74-2603.74] 比如说
[2603.74-2604.74] 我们在看盘的过程当中
[2604.74-2606.74] 我们在看盘的过程当中
[2606.74-2607.74] 那好了
[2607.74-2609.74] 我们现在的这个市场
[2609.74-2611.74] 从小时限的级别来说
[2611.74-2612.74] 说明明天
[2612.74-2615.74] 还会有下跌的风险
[2615.74-2616.74] 说明明天
[2616.74-2620.74] 还会有下跌的风险
[2620.74-2622.74] 军线都是动态的
[2622.74-2623.74] 对
[2623.74-2624.74] 不懂
[2624.74-2625.74] 可能大多数都懂
[2625.74-2626.74] 咱慢慢的去领会
[2626.74-2627.74] 不懂的同学
[2627.74-2629.74] 我们去多看看回放
[2629.74-2630.74] 多看看回放
[2630.74-2631.74] 所以说
[2631.74-2633.74] 小时限还有一冲
[2634.74-2635.74] 在二十军线
[2635.74-2636.74] 你们刚才看到的
[2636.74-2638.74] 3590
[2638.74-2640.74] 可能是3580
[2640.74-2641.74] 这个位置
[2641.74-2642.74] 它还会有支撑
[2642.74-2643.74] 所以说明天
[2643.74-2645.74] 可能会探一下
[2645.74-2648.74] 会把3600给收复的了
[2648.74-2650.74] 会把3600给收复的了
[2650.74-2652.74] 如果收复的情况下
[2652.74-2653.74] 接下来在劫后
[2653.74-2656.74] 可能会有一些修复性的行情
[2656.74-2657.74] 但是
[2657.74-2658.74] 刚才我也讲到了
[2658.74-2660.74] 如果说是修复性的行情
[2660.74-2662.74] 那趋势又不符合趋势了
[2662.74-2664.74] 因为我们看盘的第一要领
[2664.74-2665.74] 是看趋势
[2665.74-2666.74] 趋势操作
[2666.74-2668.74] 你过上的概率
[2668.74-2671.74] 就会变大
[2671.74-2674.41] K线也变
[2674.41-2675.41] 对
[2675.41-2676.41] K线也会变
[2676.41-2677.41] 所以说
[2677.41-2678.41] 看趋势
[2678.41-2680.41] 它趋势现在是属于下行
[2680.41-2681.41] 所以说
[2681.41-2683.41] 仅跟的趋势也会变
[2683.41-2685.41] 在这个过程当中
[2685.41-2687.41] 我们把这个问题过过去
[2687.41-2690.41] 我们又如何来进行看盘口
[2690.41-2692.41] 如何来进行看盘口
[2692.41-2694.41] 可能我们这一节课
[2694.41-2695.41] 我觉得
[2695.41-2697.41] 可能你们一下学不完
[2697.41-2698.41] 因为我觉得我讲到10点钟
[2698.41-2700.41] 咱们每次讲一个小时
[2700.41-2701.41] 讲一个小时
[2701.41-2702.41] 咱慢慢的讲
[2702.41-2703.41] 你们慢慢的学
[2703.41-2705.41] 我穿插着给大家去讲这个东西
[2705.41-2707.41] 你们就应该慢慢的能理解了
[2707.41-2708.41] 因为咱们一年的时间
[2708.41-2709.41] 慢慢讲
[2709.41-2711.41] 肯定都会能听懂
[2711.41-2714.41] 那怎么来去看这个盘口呢
[2714.41-2716.41] 我教给大家几个方向
[2716.41-2717.41] 看盘口当中
[2717.41-2718.41] 第一个
[2718.41-2719.41] 你需要阅读
[2719.41-2721.41] 需要快速阅读消息
[2721.41-2724.41] 包括对应的集合竞价
[2724.41-2726.41] 开盘的5分钟
[2726.41-2727.41] 包括有什么
[2727.41-2729.41] 包括价格线的逻辑
[2729.41-2731.41] 盘口的语言
[2731.41-2732.41] 亮笔
[2732.41-2734.41] 包括这里边的换手
[2734.41-2736.41] 包括外盘内盘
[2736.41-2738.41] 包括看盘的几个要素
[2738.41-2740.41] 这都是需要你们去理解的
[2740.41-2742.41] 为什么要用60分钟线
[2742.41-2744.41] 因为这个逻辑里边
[2744.41-2746.41] 你看60分钟线
[2746.41-2747.41] 你能看得清楚
[2747.41-2749.41] 短期市场
[2749.41-2751.41] 接下来会怎么看
[2751.41-2752.41] 因为60分钟线
[2752.41-2753.41] 我觉得是
[2753.41-2755.41] 作为我们看盘的人
[2755.41-2756.41] 必须要知道盘口当中
[2756.41-2758.41] 发生什么变化了
[2758.41-2761.41] 因为一天只交易四个小时
[2761.41-2762.41] 也就是说
[2762.41-2763.41] 60分钟线是什么
[2763.41-2766.41] 一小时会交易一根
[2766.41-2772.03] 一小时会交易一根
[2772.03-2776.03] 一小时会交易一根
[2776.03-2777.03] 所以说看60分钟线
[2777.03-2779.03] 你能在最短的时间
[2779.03-2780.03] 会发现
[2780.03-2781.03] 这两个小时之间的变化
[2781.03-2783.03] 你比如说
[2783.03-2784.03] 像这个小时
[2784.03-2785.03] 我给大家去演示一下
[2785.03-2787.03] K线当中的一个小变
[2787.03-2789.03] 你比如说像这个小时
[2789.03-2790.03] 你们自己看一下
[2790.03-2793.03] 这个小时和这个小时
[2793.03-2796.28] 这个小时是属于下跌的
[2796.28-2798.28] 是属于下跌的
[2798.28-2799.28] 那你们告诉我
